trajectory_index	3
delta_x	-1.0
delta_ca	-35.0
g_h	0.0
transient_time	10000.0
run_time	1.0e7
lyap_k	1
qr_dt	10.0
record_dt	10000.0
abstol	1.0e-8
reltol	1.0e-8
initial_state	0.47959037637597274,0.04357115012698499,0.8394803569729717,0.6353757793060926,-51.56724371184221
post_transient_state	0.6477033567127333,0.07023443482796979,0.6977008181316134,0.8414890358293047,-46.8964873714602
final_state	0.7396789972170313,0.09273720152643139,0.5806904838411739,0.8501310416324516,-43.88047815066322
retcode	Success
transient_runtime_seconds	0.035275125
main_runtime_seconds	46.585801125
n_symbols	1056
final_lambda1_nats_per_second	0.22724395396686636
final_lambda1_bits_per_second	0.327843725459998
final_lz76_nats_per_second	0.24852982731508658
final_lz76_bits_per_second	0.35855274938046583
final_lz76_alphabet_units_per_second	0.07721013199546548
final_lz76_alphabet_size	25
final_lz76_phrase_count	357
