created_at	2026-05-08T06:48:19.776
sweep_index	5
delta_x	-1.0
delta_ca	-35.0
g_h	0.0044444444444444444
model	full 6D SiN; y integrated
transient_time_model_units	10000.0
run_time_model_units	2.5e6
run_time_seconds	2500.0
time_unit_seconds	0.001
qr_dt	10.0
abstol	1.0e-8
reltol	1.0e-8
V_equilibria	-70.17544112281752,-46.573846663856976,-38.274491004325455,-26.99287060713014,-25.88098382962918
V_sd	-38.274491004325455
initial_state	0.958808721799535,3.7751345441365816e-11,0.2791137295359937,0.11678820237280459,1.1003477582649666,-30.0
post_transient_state	0.6896284980873314,0.3438009775397198,0.07820192037664864,0.646693921410502,0.8086816044782292,-46.156939215944526
final_state	0.13119819898464802,0.4602524390089756,0.012110313795535281,0.9784695616730634,0.5269467274657426,-63.450097632332984
retcode	Success
transient_runtime_seconds	0.0
main_runtime_seconds	13.178541125
n_symbols	286
final_lambda1_nats_per_second	0.002538707523736713
final_lambda1_bits_per_second	0.0036625807547624564
final_lz76_nats_per_second	0.08604766864154313
final_lz76_bits_per_second	0.12414054482921105
final_lz76_alphabet_size	3
final_lz76_phrase_count	38
mean_event_interval_seconds	8.733477934819964
